,bedrooms,bedrooms,bathrooms,bathrooms,sqft_living,sqft_living,sqft_lot,sqft_lot,floors,floors
,mean,median,mean,median,mean,median,mean,median,mean,median
cluster_labels,,,,,,,,,,
Spacious Single-Story Homes,3.89002981119576,4.0,2.349039417025505,2.5,2464.0662471016894,2380.0,10887.213646902948,7912.0,1.2868499503146738,1.0
Large / Luxury Estates,4.137170521785906,4.0,3.11013986013986,3.0,3689.098977945132,3530.0,51390.35018827327,14565.0,1.8894566971490048,2.0
Compact Starter Homes,2.8517345160779346,3.0,1.4436084270552827,1.5,1365.7928084904165,1350.0,10387.92491683827,7482.0,1.134959607159829,1.0
Multi-Story Family Homes,3.417895575926664,3.0,2.4439019529693105,2.5,2129.6147867676364,2100.0,9367.872658429653,6523.0,1.9394180948585094,2.0
